name,freq,error
Algiphilus aromaticivorans gen. nov,1,
Algisphaera agarilytica gen. nov,1,
Algitalea ulvae gen. nov,1,
Algivirga pacifica gen. nov,1,
Algoriella xinjiangensis gen. nov,1,
Algorimarina butyrica gen. nov,1,
Algoriphagus aestuarii sp. nov,1,
Algoriphagus aestuariicola sp. nov,1,
Algoriphagus antarcticus sp. nov,1,
Algoriphagus aquaeductus sp. nov,1,
Algoriphagus aquaemixtae sp. nov,1,
Algoriphagus aquatilis sp. nov,1,
Algoriphagus aquimarinus sp. nov,1,
Algoriphagus boseongensis sp. nov,1,
Algoriphagus chordae sp. nov,1,
Algoriphagus chungangensis sp. nov,1,
Algoriphagus confluentis sp. nov,1,
Algoriphagus faecimaris sp. nov,1,
Algoriphagus hitonicola sp. nov,1,
Algoriphagus iocasae sp. nov,1,
Algoriphagus jejuensis sp. nov,1,
Algoriphagus litorisediminis sp. nov,1,
Algoriphagus locisalis sp. nov,1,
Algoriphagus lutimaris sp. nov,1,
Algoriphagus machipongonensis sp. nov,1,
Algoriphagus marinus sp. nov,1,
Algoriphagus marisflavi sp. nov,1,
Algoriphagus namhaensis sp. nov,1,
Algoriphagus olei sp. nov,1,
Algoriphagus ratkowskyi gen. nov,1,
Algoriphagus resistens sp. nov,1,
Algoriphagus roseus sp. nov,1,
Algoriphagus shivajiensis sp. nov,1,
Algoriphagus taeanensis sp. nov,1,
Algoriphagus taiwanensis sp. nov,1,
Algoriphagus terrigena sp. nov,1,
Algoriphagus trabzonensis sp. nov,1,
Algoriphagus vanfongensis sp. nov,1,
Algoriphagus winogradskyi sp. nov,1,
Algoriphagus yeomjeoni sp. nov,1,
Algoriphagus zhangzhouensis sp. nov,1,
Aliagarivorans marinus gen. nov,1,
Aliagarivorans taiwanensis sp. nov,1,
Alicycliphilus denitrificans gen. nov,1,
Alicyclobacillus acidiphilus sp. nov,1,
Alicyclobacillus aeris sp. nov,1,
Alicyclobacillus cellulosilyticus sp. nov,1,
Alicyclobacillus consociatus sp. nov,1,
Alicyclobacillus contaminans sp. nov,1,
Alicyclobacillus dauci sp. nov,1,
Alicyclobacillus fastidiosus sp. nov,1,
Alicyclobacillus ferrooxydans sp. nov,1,
Alicyclobacillus fodiniaquatilis sp. nov,1,
Alicyclobacillus herbarius sp. nov,1,
Alicyclobacillus kakegawensis sp. nov,1,
Alicyclobacillus macrosporangiidus sp. nov,1,
Alicyclobacillus montanus sp. nov,1,
Alicyclobacillus pohliae sp. nov,1,
Alicyclobacillus pomorum sp. nov,1,
Alicyclobacillus sacchari sp. nov,1,
Alicyclobacillus sendaiensis sp. nov,1,
Alicyclobacillus shizuokensis sp. nov,1,
Alicyclobacillus tengchongensis sp. nov,1,
Alicyclobacillus tolerans sp. nov,1,
Alicyclobacillus vulcanalis sp. nov,1,
Aliibacillus thermotolerans gen. nov,1,
Aliicoccus persicus gen. nov,1,
Aliidiomarina haloalkalitolerans sp. nov,1,
Aliidiomarina iranensis sp. nov,1,
Aliidiomarina sanyensis sp. nov,1,
Aliidiomarina sedimenti sp. nov,1,
Aliidiomarina shirensis sp. nov,1,
Aliidiomarina taiwanensis gen. nov,1,
Aliidongia dinghuensis gen. nov,1,
Aliifodinibius halophilus sp. nov,1,
Aliifodinibius roseus gen. nov,1,
Aliifodinibius salicampi sp. nov,1,
Aliifodinibius sediminis sp. nov,1,
Aliiglaciecola aliphaticivorans sp. nov,1,
Aliiglaciecola coringensis sp. nov,1,
Aliihoeflea aestuarii gen. nov,1,
Aliikangiella marina gen. nov,1,
Aliinostoc morphoplasticum sp. nov,1,
Aliiroseovarius pelagivivens gen. nov,1,
Alisedimentitalea scapharcae gen. nov,1,typo
Aliivibrio finisterrensis sp. nov,1,
Aliivibrio sifiae sp. nov,1,
Alishewanella aestuarii sp. nov,1,
Alishewanella agri sp. nov,1,
Alishewanella alkalitolerans sp. nov,1,
Alishewanella jeotgali sp. nov,1,
Alishewanella solinquinati sp. nov,1,
Alishewanella tabrizica sp. nov,1,
Alistipes finegoldii sp. nov,1,
Alistipes indistinctus sp. nov,1,
Alistipes inops sp. nov,1,
Alistipes onderdonkii sp. nov,1,
Alistipes shahii sp. nov,1,
Aliterella antarctica sp. nov,1,
Aliterella atlantica gen. nov,1,
Alkalibacillus almallahensis sp. nov,1,
Alkalibacillus filiformis sp. nov,1,
Alkalibacillus flavidus sp. nov,1,
Alkalibacillus haloalkaliphilus gen. nov,1,
Alkalibacillus halophilus sp. nov,1,
Alkalibacillus salilacus sp. nov,1,
Alkalibacillus silvisoli sp. nov,1,
Alkalibacter saccharofermentans gen. nov,1,
Alkalibacterium gilvum sp. nov,1,
Alkalibacterium iburiense sp. nov,1,
Alkalibacterium indicireducens sp. nov,1,
Alkalibacterium kapii sp. nov,1,
Alkalibacterium olivoapovliticus gen. nov,1,
Alkalibacterium pelagium sp. nov,1,
Alkalibacterium psychrotolerans sp. nov,1,
Alkalibacterium putridalgicola sp. nov,1,
Alkalibacterium subtropicum sp. nov,1,
Alkalibacterium thalassium sp. nov,1,
Alkalibaculum bacchi gen. nov,1,
Alkalicoccus halolimnae sp. nov,1,
Alkalicoccus saliphilus gen. nov,1,
Alkaliflexus imshenetskii gen. nov,1,
Alkalilimnicola ehrlichii sp. nov,1,
Alkalimarinus sediminis gen. nov,1,
Alkalimicrobium pacificum gen. nov,1,
Alkalimonas amylolytica gen. nov,1,
Alkalimonas collagenimarina sp. nov,1,
Alkalimonas delamerensis gen. nov,1,
Alkaliphilus crotonatoxidans sp. nov,1,
Alkaliphilus halophilus sp. nov,1,
Alkaliphilus hydrothermalis sp. nov,1,
Alkaliphilus namsaraevii sp. nov,1,
Alkaliphilus peptidofermentans sp.nov,1,
Alkaliphilus transvaalensis gen. nov,1,
Alkalispirochaeta cellulosivorans gen. nov,1,
Alkalitalea saponilacus gen. nov,1,
Alkanibacter difficilis gen. nov,1,
Alkanindiges hongkongensis sp. nov,1,
Alkanindiges illinoisensis gen. nov,1,
Allisonella histaminiformans gen. nov,1,
Alloactinosynnema album gen. nov,1,
Alloactinosynnema iranicum sp. nov,1,
Allobacillus halotolerans gen. nov,1,
Allobranchiibius huperziae gen. nov,1,
Allocatelliglobosispora scoriae gen. nov,1,
Allochromatium humboldtianum sp. nov,1,
Allochromatium phaeobacterium sp. nov,1,
Allochromatium renukae sp. nov,1,
Allofrancisella frigidaquae sp. nov,1,
Allofrancisella inopinata gen. nov,1,
Allofustis seminis gen. nov,1,
Allohahella marinimesophila gen. nov,1,
Allohumibacter endophyticus gen. nov,1,
Allokutzneria multivorans sp. nov,1,
Allokutzneria oryzae sp. nov,1,
Allonocardiopsis opalescens gen. nov,1,
Alloprevotella rava gen. nov,1,
Alloprevotella tannerae gen. nov,1,
Allosalinactinospora lopnorensis gen. nov,1,
Alloscardovia macacae sp. nov,1,
Alloscardovia omnicolens gen. nov,1,
Alloscardovia venturai sp. nov,1,
Allostreptomyces indica sp. nov,1,
Allostreptomyces psammosilenae gen. nov,1,
Alpinimonas psychrophila gen. nov,1,
Alsobacter metallidurans gen. nov,1,
Alsobacter soli sp. nov,1,
Altererythrobacter aerius sp. nov,1,
Altererythrobacter aestiaquae sp. nov,1,
Altererythrobacter aestuarii sp. nov,1,
Altererythrobacter aquaemixtae sp. nov,1,
Altererythrobacter aquiaggeris sp. nov,1,
Altererythrobacter atlanticus sp. nov,1,
Altererythrobacter aurantiacus sp. nov,1,
Altererythrobacter buctense sp. nov,1,
Altererythrobacter confluentis sp. nov,1,
Altererythrobacter deserti sp. nov,1,
Altererythrobacter dongtanensis sp. nov,1,
Altererythrobacter endophyticus sp. nov,1,
Altererythrobacter epoxidivorans gen. nov,1,
Altererythrobacter estronivorus sp. nov,1,
Altererythrobacter flavus sp. nov,1,
Altererythrobacter fulvus sp. nov,1,
Altererythrobacter gangjinensis sp. nov,1,
Altererythrobacter halimionae sp. nov,1,
Altererythrobacter indicus sp. nov,1,
Altererythrobacter ishigakiensis sp. nov,1,
Altererythrobacter mangrovi sp. nov,1,
Altererythrobacter marensis sp. nov,1,
Altererythrobacter marinus sp. nov,1,
Altererythrobacter namhicola sp. nov,1,
Altererythrobacter oceanensis sp. nov,1,
Altererythrobacter rigui sp. nov,1,
Altererythrobacter salegens sp. nov,1,
Altererythrobacter sediminis sp. nov,1,
Altererythrobacter soli sp. nov,1,
Altererythrobacter terrae sp. nov,1,
Altererythrobacter troitsensis sp. nov,1,
