Name	Year
Agromyces bauzanensis	2010
Agromyces binzhouensis	2016
Agromyces bracchium	2001
Agromyces cerinus	1992
Agromyces flavus	2011
Agromyces fucosus	1992
Agromyces hippuratus	2004
Agromyces humatus	2005
Agromyces indicus	2012
Agromyces insulae	2016
Agromyces iriomotensis	2014
Agromyces italicus	2005
Agromyces lapidis	2005
Agromyces luteolus	2001
Agromyces marinus	2015
Agromyces mediolanus	1996
Agromyces neolithicus	2005
Agromyces ramosus	1969
Agromyces rhizospherae	2001
Agromyces salentinus	2005
Agromyces soli	2011
Agromyces subbeticus	2005
Agromyces subtropicus	2014
Agromyces terreus	2008
Agromyces tropicus	2011
Agromyces ulmi	2004
Ahniella affigens	2018
Ahrensia kielensis	1999
Ahrensia marina	2016
Aidingimonas halophila	2009
Akkermansia glycaniphila	2016
Akkermansia muciniphila	2004
Albibacter methylovorans	2001
Albidiferax ferrireducens	2009
Albidovulum inexpectatum	2003
Albidovulum xiamenense	2012
Albimonas donghaensis	2008
Albirhodobacter confluentis	2018
Albirhodobacter marinus	2015
Alcaligenes aestus	1972
Alcaligenes aquamarinus	1974
Alcaligenes aquatilis	2005
Alcaligenes cupidus	1972
Alcaligenes defragrans	1998
Alcaligenes denitrificans	1983
Alcaligenes endophyticus	2017
Alcaligenes eutrophus	1969
Alcaligenes faecalis	1919
Alcaligenes latus	1978
Alcaligenes pacificus	1972
Alcaligenes pakistanensis	2016
Alcaligenes paradoxus	1969
Alcaligenes piechaudii	1986
Alcaligenes ruhlandii	1977
Alcaligenes venustus	1972
Alcaligenes xylosoxidans	1986
Alcanivorax balearicus	2007
Alcanivorax borkumensis	1998
Alcanivorax dieselolei	2005
Alcanivorax gelatiniphagus	2015
Alcanivorax hongdengensis	2009
Alcanivorax jadensis	2003
Alcanivorax marinus	2013
Alcanivorax mobilis	2018
Alcanivorax pacificus	2011
Alcanivorax venustensis	2003
Alcanivorax xenomutans	2014
Algibacter aestuarii	2013
Algibacter agarilyticus	2013
Algibacter agarivorans	2013
Algibacter alginicilyticus	2016
Algibacter amylolyticus	2015
Algibacter aquaticus	2017
Algibacter aquimarinus	2013
Algibacter lectus	2004
Algibacter mikhailovii	2007
Algibacter miyuki	2014
Algibacter pectinivorans	2013
Algibacter psychrophilus	2015
Algibacter undariae	2013
Algibacter wandonensis	2013
Algicola bacteriolytica	2004
Algicola sagamiensis	2007
Algimonas ampicilliniresistens	2013
Algimonas arctica	2015
Algimonas porphyrae	2013
Algiphilus aromaticivorans	2012
Algisphaera agarilytica	2014
Algitalea ulvae	2015
Algoriella xinjiangensis	2016
Algoriphagus aestuarii	2015
Algoriphagus aestuariicola	2017
Algoriphagus alkaliphilus	2007
Algoriphagus antarcticus	2004
Algoriphagus aquaeductus	2012
Algoriphagus aquaemixtae	2017
Algoriphagus aquatilis	2009
Algoriphagus aquimarinus	2004
Algoriphagus boritolerans	2007
Algoriphagus boseongensis	2014
Algoriphagus chordae	2004
Algoriphagus chungangensis	2013
Algoriphagus confluentis	2016
Algoriphagus faecimaris	2011
Algoriphagus halophilus	2004
Algoriphagus hitonicola	2008
Algoriphagus iocasae	2017
Algoriphagus jejuensis	2012
Algoriphagus litorisediminis	2016
Algoriphagus locisalis	2005
Algoriphagus lutimaris	2010
Algoriphagus machipongonensis	2013
Algoriphagus mannitolivorans	2007
Algoriphagus marincola	2007
Algoriphagus marinus	2017
Algoriphagus marisflavi	2017
Algoriphagus namhaensis	2012
Algoriphagus olei	2009
Algoriphagus ornithinivorans	2007
Algoriphagus ratkowskyi	2003
Algoriphagus resistens	2017
Algoriphagus roseus	2016
Algoriphagus taeanensis	2014
Algoriphagus taiwanensis	2015
Algoriphagus terrigena	2006
Algoriphagus trabzonensis	2015
Algoriphagus vanfongensis	2007
Algoriphagus winogradskyi	2004
Algoriphagus yeomjeoni	2005
Algoriphagus zhangzhouensis	2013
Aliagarivorans marinus	2009
Aliagarivorans taiwanensis	2009
Alicycliphilus denitrificans	2003
Alicyclobacillus acidiphilus	2002
Alicyclobacillus acidocaldarius	1992
Alicyclobacillus acidoterrestris	1992
Alicyclobacillus aeris	2009
Alicyclobacillus cellulosilyticus	2014
Alicyclobacillus contaminans	2007
Alicyclobacillus cycloheptanicus	1992
Alicyclobacillus dauci	2015
Alicyclobacillus disulfidooxidans	2005
Alicyclobacillus fastidiosus	2007
Alicyclobacillus ferrooxydans	2008
Alicyclobacillus fodiniaquatilis	2015
Alicyclobacillus herbarius	2002
Alicyclobacillus hesperidum	2000
Alicyclobacillus kakegawensis	2007
Alicyclobacillus macrosporangiidus	2007
Alicyclobacillus montanus	2018
Alicyclobacillus pohliae	2008
Alicyclobacillus pomorum	2003
Alicyclobacillus sacchari	2007
Alicyclobacillus sendaiensis	2003
Alicyclobacillus shizuokensis	2007
Alicyclobacillus tengchongensis	2016
Alicyclobacillus tolerans	2005
Alicyclobacillus vulcanalis	2004
Aliicoccus persicus	2014
Aliidiomarina iranensis	2016
Aliidiomarina maris	2014
Aliidiomarina minuta	2016
Aliidiomarina sanyensis	2017
Aliidiomarina sedimenti	2017
Aliidiomarina shirensis	2014
Aliidiomarina soli	2017
Aliidiomarina taiwanensis	2012
Aliidongia dinghuensis	2017
